#  Printing Reflectance, Absorptance by layers and Transmittance (input statement at line 58)
#  Simulation date:
#    Mon Jul 10 14:26:27 2023
# Reflectance, Absorptance by layers and Transmittance
# Wavelenght [m]	Reflectance, Absorptance for each layer, Transmittance [] 
#  lambda	Reflectance	Layer  0	Layer  1	Layer  2	Layer  3	Layer  4	Layer  5	Layer  6	Transmittance	Sum
8.950000e-007	9.663218e-001	0.000000e+000	2.229128e-002	4.645349e-005	0.000000e+000	0.000000e+000	6.758479e-004	1.066471e-002	2.690770e-012	1.000000e+000
9.000000e-007	9.688302e-001	0.000000e+000	1.968958e-002	7.503884e-005	0.000000e+000	0.000000e+000	6.867344e-004	1.071851e-002	2.678112e-012	1.000000e+000
9.050000e-007	9.711942e-001	0.000000e+000	1.736378e-002	1.040971e-004	0.000000e+000	0.000000e+000	6.897415e-004	1.064818e-002	2.644217e-012	1.000000e+000
9.100000e-007	9.736438e-001	0.000000e+000	1.504290e-002	1.360530e-004	0.000000e+000	0.000000e+000	6.868305e-004	1.049050e-002	2.589251e-012	1.000000e+000
9.150000e-007	9.760519e-001	0.000000e+000	1.284664e-002	1.694366e-004	0.000000e+000	0.000000e+000	6.785504e-004	1.025351e-002	2.515562e-012	1.000000e+000
9.200000e-007	9.783580e-001	0.000000e+000	1.081940e-002	2.027082e-004	0.000000e+000	0.000000e+000	6.656759e-004	9.954232e-003	2.427629e-012	1.000000e+000
9.250000e-007	9.804889e-001	0.000000e+000	9.016462e-003	2.349190e-004	0.000000e+000	0.000000e+000	6.496273e-004	9.610134e-003	2.329932e-012	1.000000e+000
9.300000e-007	9.823826e-001	0.000000e+000	7.486619e-003	2.649020e-004	0.000000e+000	0.000000e+000	6.308753e-004	9.235056e-003	2.225971e-012	1.000000e+000
9.350000e-007	9.840010e-001	0.000000e+000	6.253598e-003	2.923797e-004	0.000000e+000	0.000000e+000	6.104659e-004	8.842609e-003	2.119107e-012	1.000000e+000
9.400000e-007	9.853322e-001	0.000000e+000	5.315382e-003	3.166941e-004	0.000000e+000	0.000000e+000	5.891586e-004	8.446578e-003	2.012667e-012	1.000000e+000
9.450000e-007	9.863710e-001	0.000000e+000	4.666369e-003	3.379103e-004	0.000000e+000	0.000000e+000	5.679445e-004	8.056833e-003	1.908973e-012	1.000000e+000
9.500000e-007	9.871303e-001	0.000000e+000	4.286070e-003	3.558788e-004	0.000000e+000	0.000000e+000	5.470526e-004	7.680758e-003	1.809709e-012	1.000000e+000
9.550000e-007	9.876218e-001	0.000000e+000	4.156518e-003	3.709553e-004	0.000000e+000	0.000000e+000	5.270398e-004	7.323683e-003	1.716045e-012	1.000000e+000
9.600000e-007	9.878685e-001	0.000000e+000	4.251237e-003	3.831938e-004	0.000000e+000	0.000000e+000	5.080588e-004	6.988985e-003	1.628665e-012	1.000000e+000
9.650000e-007	9.878930e-001	0.000000e+000	4.544892e-003	3.933221e-004	0.000000e+000	0.000000e+000	4.904168e-004	6.678423e-003	1.547870e-012	1.000000e+000
9.700000e-007	9.877149e-001	0.000000e+000	5.017523e-003	4.011582e-004	0.000000e+000	0.000000e+000	4.740735e-004	6.392371e-003	1.473632e-012	1.000000e+000
9.750000e-007	9.873485e-001	0.000000e+000	5.653803e-003	4.072521e-004	0.000000e+000	0.000000e+000	4.593301e-004	6.131164e-003	1.405917e-012	1.000000e+000
9.800000e-007	9.868160e-001	0.000000e+000	6.432563e-003	4.115901e-004	0.000000e+000	0.000000e+000	4.459476e-004	5.893899e-003	1.344412e-012	1.000000e+000
9.850000e-007	9.861304e-001	0.000000e+000	7.343238e-003	4.147181e-004	0.000000e+000	0.000000e+000	4.338840e-004	5.677753e-003	1.282987e-012	1.000000e+000
9.900000e-007	9.853076e-001	0.000000e+000	8.369294e-003	4.165189e-004	0.000000e+000	0.000000e+000	4.231296e-004	5.483479e-003	1.227605e-012	1.000000e+000
9.950000e-007	9.843497e-001	0.000000e+000	9.509725e-003	4.175485e-004	0.000000e+000	0.000000e+000	4.137837e-004	5.309210e-003	1.174475e-012	1.000000e+000
1.000000e-006	9.832744e-001	0.000000e+000	1.074811e-002	4.175913e-004	0.000000e+000	0.000000e+000	4.056448e-004	5.154323e-003	1.126804e-012	1.000000e+000
1.005000e-006	9.819126e-001	0.000000e+000	1.227146e-002	4.180822e-004	0.000000e+000	0.000000e+000	3.973909e-004	5.000507e-003	1.080449e-012	1.000000e+000
1.010000e-006	9.804244e-001	0.000000e+000	1.390049e-002	4.175057e-004	0.000000e+000	0.000000e+000	3.904969e-004	4.867168e-003	1.039512e-012	1.000000e+000
1.015000e-006	9.788234e-001	0.000000e+000	1.562234e-002	4.164871e-004	0.000000e+000	0.000000e+000	3.850427e-004	4.752708e-003	1.003475e-012	1.000000e+000
1.020000e-006	9.771141e-001	0.000000e+000	1.743459e-002	4.146487e-004	0.000000e+000	0.000000e+000	3.808053e-004	4.655867e-003	9.719111e-013	1.000000e+000
1.025000e-006	9.752951e-001	0.000000e+000	1.933943e-002	4.123317e-004	0.000000e+000	0.000000e+000	3.778614e-004	4.575214e-003	9.443774e-013	1.000000e+000
1.030000e-006	9.733785e-001	0.000000e+000	2.132632e-002	4.093521e-004	0.000000e+000	0.000000e+000	3.760154e-004	4.509798e-003	9.205478e-013	1.000000e+000
1.035000e-006	9.713686e-001	0.000000e+000	2.339176e-002	4.058354e-004	0.000000e+000	0.000000e+000	3.752815e-004	4.458473e-003	9.000711e-013	1.000000e+000
